,lower_limit,upper_limit,bpm,condition
0,0,60,57,normal
1,60,120,63,normal
2,120,180,67,normal
3,180,240,6,abnormal
4,240,300,63,normal
5,300,360,48,normal
6,360,420,67,normal
7,420,480,65,normal
8,480,540,74,normal
9,540,600,70,normal
10,600,660,14,abnormal
11,660,720,60,normal
12,720,780,6,abnormal
13,780,840,19,abnormal
14,840,900,65,normal
15,900,960,5,abnormal
16,960,1020,54,normal
17,1020,1080,58,normal
18,1080,1140,63,normal
19,1140,1200,13,abnormal
20,1200,1260,62,normal
21,1260,1320,57,normal
22,1320,1380,66,normal
23,1380,1440,20,abnormal
24,1440,1500,63,normal
25,1500,1560,58,normal
26,1560,1620,23,abnormal
